Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Sale price,Regular price,Categories,Tags,Images,Position
simple,SA00876,24 Leather,1,0,visible,Inspired by Sasan Creation,"Leather 24 is a premium fragrance crafted for everyday elegance and lasting impression. This luxurious leather fragrance blends rich leather, warm spices, and woody notes for a long-lasting scent. Perfect for daily wear or special occasion",taxable,,1,,0,0,.407,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/24-Leather-All-over-scaled.webp, https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.09-PM-1.jpeg",0
simple,SA06783,Terra Sol,1,0,visible,Inspired by Sasan Creation,Inspired by Sasan Creation,taxable,,1,,0,0,.407,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Terra-sol-all-over-scaled.webp, https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.07-PM-2-1.jpeg",0
simple,SASAN-5736,HUDSON,1,0,visible,Inspired by : HUDSON,Inspired by : HUDSON,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4972-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4973-scaled.jpg",0
simple,SASAN-5731,GARSON GRANDE,1,0,visible,Inspired by : Sasan Creation,Inspired by : Sasan Creation,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4968-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4969-scaled.jpg",0
simple,SASAN-5728,SHINALSA BLUE,1,0,visible,Inspired by : SHINALSA BLUE,Inspired by : SHINALSA BLUE,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4964-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4965-scaled.jpg",0
simple,SASAN-5725,WAYSA,1,0,visible,Inspired by : My Way,Inspired by : My Way,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4961-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4962-scaled.jpg",0
simple,SASAN-5722,DIVA POWDER,1,0,visible,Inspired by : Sasan Creation,Inspired by : Sasan Creation,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4958-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4959-scaled.jpg",0
simple,SASAN-5717,MALESA ELIXIR,1,0,visible,Inspired by : Le Male Elixir,Inspired by : Le Male Elixir,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4955-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4956-scaled.jpg",0
simple,SASAN-5712,IMAGINE,1,0,visible,Inspired by : Imagination,Inspired by : Imagination,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4950-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4951-scaled.jpg",0
simple,SA009192,Terra Sol,1,0,visible,Inspired by :  SASAN CREATION,"A luxurious oriental unisex fragrance with a long-lasting, powerful sillage that enchants the senses and leaves a memorable impression.",taxable,,1,,0,0,,,,,1,,76.50,"Perfumes, Unisex",80ml,"https://sasanperfumes.com/wp-content/uploads/2026/06/Screenshot-2026-06-13-134953.png, https://sasanperfumes.com/wp-content/uploads/2026/02/Terra-scaled.webp",0
simple,SASAN-5693,24,1,0,visible,Fragrances created by: SASAN CREATION,Fragrances created by: SASAN CREATION,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.08-PM-1.jpeg, https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.10-PM-1.jpeg",0
simple,SASAN-5682,FLAMINGOSA,1,0,visible,Inspired by : Flamenco,Inspired by : Flamenco,taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.07-PM-4.jpeg, https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.08-PM-3.jpeg",0
simple,SASAN-5679,24 INTENSE,1,0,visible,Inspired by : SASAN CREATION,"A unique men’s fragrance that combines refreshing brightness with deep, rich oriental nuances, creating a bold and sophisticated scent",taxable,,1,,0,0,,,,,1,,76.50,All Over Spray,,"https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4981-scaled.jpg, https://sasanperfumes.com/wp-content/uploads/2026/06/Sasan4982-scaled.jpg",0
simple,SASAN-5677,MEEDANSA,1,0,visible,Inspired by : Meydan,"Midan is a fragrance inspired by the spirit of the United Arab Emirates, drawing its essence from the heritage of its iconic horse racing tracks. It brings a distinctive charm and refined elegance, perfectly complementing your everyday presence.",taxable,,1,,0,0,,,,,1,,76.50,"All Over Spray, New Arrival",,"https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.07-PM.jpeg, https://sasanperfumes.com/wp-content/uploads/2026/06/WhatsApp-Image-2026-06-11-at-12.20.07-PM.jpeg",0
